summary,levels,products,uid,type,title,modules,main_product,title_and_summary
Learn to branch your code's execution path by evaluating boolean expressions.,['beginner'],['dotnet'],learn.languages.csharp-if-elseif-else,module,Add decision logic to your code using the if-elseif-else statement in C#,,dotnet,Add decision logic to your code using the if-elseif-else statement in C# Learn to branch your code's execution path by evaluating boolean expressions.
"In this module, we show you how to use Narrator and custom voice input controls to make your app inclusive to visually impaired users.",['intermediate'],['windows'],learn-windows.narrator-and-voice-input,module,Configure your Windows app to use Narrator and speech recognition,,windows,"Configure your Windows app to use Narrator and speech recognition In this module, we show you how to use Narrator and custom voice input controls to make your app inclusive to visually impaired users."
"You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps.",['intermediate'],"['azure', 'azure-cloud-shell', 'azure-monitor', 'azure-portal', 'azure-virtual-machines']",learn.wwl.monitor-windows-server-iaas-vms-hybrid-instances,module,Monitor Windows Server IaaS Virtual Machines and hybrid instances,,azure,"Monitor Windows Server IaaS Virtual Machines and hybrid instances You'll be able to implement Azure Monitor for IaaS Virtual Machines in Azure, implement Azure Monitor in on-premises environments, and use dependency maps."
Implement Windows Server IaaS VM network security,['intermediate'],"['azure', 'azure-cloud-shell', 'azure-portal', 'azure-virtual-machines']",learn.wwl.implement-windows-server-iaas-vm-network-security,module,Implement Windows Server IaaS VM network security,,azure,Implement Windows Server IaaS VM network security Implement Windows Server IaaS VM network security
Learn how to recognize and synthesize speech by using Azure Cognitive Services.,['intermediate'],"['azure', 'azure-cognitive-services', 'azure-sdks']",learn.wwl.recognize-synthesize-speech,module,Recognize and synthesize speech,,azure,Recognize and synthesize speech Learn how to recognize and synthesize speech by using Azure Cognitive Services.
CAF getting started. Use the Cloud Adoption Framework getting started guides to unblock your organization’s cloud adoption efforts.,['beginner'],['azure'],learn.azure.cloud-adoption-framework-getting-started,module,Getting started with the Microsoft Cloud Adoption Framework for Azure,,azure,Getting started with the Microsoft Cloud Adoption Framework for Azure CAF getting started. Use the Cloud Adoption Framework getting started guides to unblock your organization’s cloud adoption efforts.
Learn about solutions that can give your IT organization insight into the health and performance of its cloud-based applications.,['beginner'],"['azure', 'azure-advisor', 'azure-monitor', 'azure-service-health']",learn.azure.monitoring-fundamentals,module,"Choose the best monitoring service for visibility, insight, and outage mitigation",,azure,"Choose the best monitoring service for visibility, insight, and outage mitigation Learn about solutions that can give your IT organization insight into the health and performance of its cloud-based applications."
Learn with the Space Game web team how to use Azure Boards to implement Agile software practices along with DevOps transparency and collaboration.,['beginner'],['azure-devops'],learn.azdo.choose-an-agile-approach,module,Choose an Agile approach to software development,,azure,Choose an Agile approach to software development Learn with the Space Game web team how to use Azure Boards to implement Agile software practices along with DevOps transparency and collaboration.
"Securely expose services that run in your on-premises network to clients in the cloud, without having to open a port on your firewall or make intrusive changes to your corporate network infrastructure.",['beginner'],"['azure', 'azure-service-bus']",learn.expose-hybrid-services-with-azure-relay,module,Expose hybrid services securely with Azure Relay,,azure,"Expose hybrid services securely with Azure Relay Securely expose services that run in your on-premises network to clients in the cloud, without having to open a port on your firewall or make intrusive changes to your corporate network infrastructure."
"Learn about your virtual machine storage options and how to choose between standard and premium, managed and unmanaged disks for your Azure virtual machine.",['intermediate'],"['azure', 'azure-virtual-machines', 'azure-portal']",learn.add-and-size-disks-in-azure-virtual-machines,module,Add and size disks in Azure virtual machines,,azure,"Add and size disks in Azure virtual machines Learn about your virtual machine storage options and how to choose between standard and premium, managed and unmanaged disks for your Azure virtual machine."
